s_id,r_id,score,era
E_NOISE_65a9a60191efd0fa,R290,13.094882369532474,1910s
E25,R290,9.339418443784544,1910s
E25,R290,9.239341093027038,1910s
E4,R273,8.234033492226295,1910s
E2,R107,7.719799695414837,1910s
E_NOISE_a159cdb85f6fa619,R_NOISE_1efedc75aafcf229,7.262451666733479,1910s
E_NOISE_a159cdb85f6fa619,R_NOISE_54ee86ea642c828a,6.901797015291174,1910s
E25,R228,6.891085333856776,1910s
E_NOISE_c6053aa5b7aae18f,R_NOISE_96dff08b7dda6ab9,5.7206699972787405,1910s
E_NOISE_fecd0aa4e2bbc2e5,R_NOISE_54ee86ea642c828a,5.5124352332505735,1910s
E25,R_NOISE_cce3815c67f5f66d,5.50762777390061,1910s
E_NOISE_d777c4965aaeb0dc,R_NOISE_54ee86ea642c828a,5.4600076846985255,1910s
E_NOISE_fecd0aa4e2bbc2e5,R_NOISE_54ee86ea642c828a,5.364124818610525,1910s
E1,R_NOISE_6b28a1dfebec76a2,5.244232991622572,1910s
E70,R15,5.227802620922432,1910s
E78,R5,5.207841064060782,1910s
E101,R11,5.12455016514963,1910s
E_NOISE_fecd0aa4e2bbc2e5,R_NOISE_54ee86ea642c828a,5.108326678252103,1910s
E2,R173,4.928340281424911,1910s
E_NOISE_ac615abaf7f54e05,R_NOISE_27e90dfa57c358ac,4.719637237455699,1910s
E_NOISE_65a9a60191efd0fa,R290,4.693709764028113,1910s
E_NOISE_65a9a60191efd0fa,R290,4.528078692020768,1910s
E_NOISE_d777c4965aaeb0dc,R_NOISE_54ee86ea642c828a,4.4007544157650775,1910s
E107,R357,4.351749628622953,1910s
E5,R219,4.324917065044976,1910s
E57,R5,4.304117189612651,1910s
E_NOISE_d777c4965aaeb0dc,R_NOISE_54ee86ea642c828a,4.108069682153479,1910s
E107,R63,4.049374609563331,1910s
E35,R9,3.997747085881213,1910s
E17,R65,3.905041014515972,1910s
E78,R249,3.896783564281263,1910s
E71,R40,3.8641955733262456,1910s
E56,R39,3.8518677417720415,1910s
E22,R3,3.84614058977899,1910s
E_NOISE_a159cdb85f6fa619,R_NOISE_1efedc75aafcf229,3.830229745832395,1910s
E_NOISE_d777c4965aaeb0dc,R_NOISE_54ee86ea642c828a,3.821889366897979,1910s
E56,R386,3.718904970800868,1910s
E25,R53,3.6972995873424543,1910s
E63,R71,3.653100403103756,1910s
E_NOISE_cad4a050877f52d6,R290,3.533294298148647,1910s
E4,R433,3.5135984741063537,1910s
E5,R228,3.3723785582456265,1910s
E3,R_NOISE_54ee86ea642c828a,3.370317756614893,1910s
E_NOISE_65a9a60191efd0fa,R290,3.318724220109289,1910s
E_NOISE_a159cdb85f6fa619,R_NOISE_1efedc75aafcf229,3.2869119895828165,1910s
E65,R_NOISE_8cae131d9aa2e44f,3.2403125998914346,1910s
E130,R77,3.167007803172718,1910s
E16,R144,3.166117508430568,1910s
E13,R89,3.150472078163451,1910s
E65,R15,3.1434990875985074,1910s
