s_id,r_id,score,era
E141,R144,12.29728303002327,1920+
E141,R107,11.455918143333404,1920+
E141,R144,9.272968063933346,1920+
E141,R459,8.998467070015076,1920+
E5,R176,7.96476698837577,1920+
E5,R404,7.687076445832465,1920+
E86,R31,7.415108110435563,1920+
E_NOISE_75277074f92ccf46,R15,7.361358414556428,1920+
E5,R107,7.354134065565754,1920+
E141,R144,7.300538063402393,1920+
E141,R144,6.38301410914223,1920+
E_NOISE_ab044fc74c79cf1c,R32,6.167865377319912,1920+
E71,R131,6.126913290707061,1920+
E24,R48,5.928236042298894,1920+
E4,R273,5.91443512725907,1920+
E14,R17,5.707849795201308,1920+
E141,R_NOISE_951f120ff31d9ffa,5.333258521917665,1920+
E98,R1,5.144514363881951,1920+
E71,R107,5.1328687521940655,1920+
E37,R15,5.087390308430902,1920+
E81,R1,4.986653086437893,1920+
E156,R31,4.895184806584244,1920+
E5,R57,4.843214462892376,1920+
E167,R285,4.57149947147146,1920+
E24,R48,4.528018171738709,1920+
E_NOISE_75277074f92ccf46,R53,4.491758414562254,1920+
E5,R35,4.4755447216673945,1920+
E_NOISE_db4d330579352723,R83,4.428943150048655,1920+
E116,R156,4.397120891794335,1920+
E32,R16,4.354932426522553,1920+
E160,R221,4.349996645638011,1920+
E5,R53,4.332264088421644,1920+
E71,R11,4.314329992116466,1920+
E24,R459,4.3092587802074105,1920+
E1,R279,4.230422687618279,1920+
E5,R302,4.181132595072192,1920+
E24,R91,4.129510546294152,1920+
E24,R32,4.121660654876283,1920+
E50,R38,4.096230276605171,1920+
E0,R31,4.073407440953507,1920+
E2,R191,4.006386950742418,1920+
E5,R444,3.998843496259071,1920+
E167,R57,3.913058407799115,1920+
E24,R48,3.885900723839734,1920+
E24,R48,3.851322409762065,1920+
E_NOISE_75277074f92ccf46,R2,3.7953318039602286,1920+
E24,R76,3.784406125276838,1920+
E81,R81,3.763122660121689,1920+
E25,R290,3.736891593115104,1920+
E7,R166,3.652947334904139,1920+
