s_id,r_id,score,era
E_NOISE_65a9a60191efd0fa,R290,13.094882369532474,1910s
E141,R144,12.29728303002327,1920+
E141,R107,11.455918143333404,1920+
E98,R15,9.929879168941394,1900s
E25,R290,9.339418443784544,1910s
E141,R144,9.272968063933346,1920+
E25,R290,9.239341093027038,1910s
E_NOISE_076df7153a50d682,R31,9.204659687751883,1900s
E141,R459,8.998467070015076,1920+
E98,R15,8.607185920432615,pre-1900
E61,R450,8.379295739600273,pre-1900
E4,R273,8.234033492226295,1910s
E177,R450,8.096329399835447,pre-1900
E5,R176,7.96476698837577,1920+
E2,R107,7.719799695414837,1910s
E5,R404,7.687076445832465,1920+
E45,R53,7.547801240984757,pre-1900
E2,R107,7.528839806655496,pre-1900
E86,R31,7.415108110435563,1920+
E_NOISE_75277074f92ccf46,R15,7.361358414556428,1920+
E5,R107,7.354134065565754,1920+
E61,R34,7.3373720015181,pre-1900
E141,R144,7.300538063402393,1920+
E_NOISE_a159cdb85f6fa619,R_NOISE_1efedc75aafcf229,7.262451666733479,1910s
E39,R294,7.124947618389702,1900s
E61,R88,7.1138744162967935,pre-1900
E5,R53,7.021278288917934,1900s
E107,R290,7.019700663522206,pre-1900
E_NOISE_a159cdb85f6fa619,R_NOISE_54ee86ea642c828a,6.901797015291174,1910s
E25,R228,6.891085333856776,1910s
E50,R294,6.800823173366792,1900s
E107,R53,6.746430130508806,pre-1900
E2,R83,6.7237756904353,pre-1900
E33,R31,6.677457831564115,1900s
E_NOISE_8c14c8aed9f7509d,R294,6.406238674766355,pre-1900
E141,R144,6.38301410914223,1920+
E_NOISE_c6053aa5b7aae18f,R237,6.368327923777253,pre-1900
E_NOISE_dd25274b12c0d5ce,R48,6.18566075484133,
E_NOISE_ab044fc74c79cf1c,R32,6.167865377319912,1920+
E71,R131,6.126913290707061,1920+
E49,R14,6.041940345425789,
E2,R14,6.037429990780765,pre-1900
E2,R107,6.021666175615663,pre-1900
E61,R76,6.007539644166755,pre-1900
E49,R53,6.000941634138549,pre-1900
E2,R1,5.988677656895644,1900s
E81,R1,5.955479093897864,pre-1900
E24,R48,5.928236042298894,1920+
E45,R15,5.927216632820069,
E4,R273,5.91443512725907,1920+
