s_id,r_id,score,era
E98,R15,8.607185920432615,pre-1900
E61,R450,8.379295739600273,pre-1900
E177,R450,8.096329399835447,pre-1900
E45,R53,7.547801240984757,pre-1900
E2,R107,7.528839806655496,pre-1900
E61,R34,7.3373720015181,pre-1900
E61,R88,7.1138744162967935,pre-1900
E107,R290,7.019700663522206,pre-1900
E107,R53,6.746430130508806,pre-1900
E2,R83,6.7237756904353,pre-1900
E_NOISE_8c14c8aed9f7509d,R294,6.406238674766355,pre-1900
E_NOISE_c6053aa5b7aae18f,R237,6.368327923777253,pre-1900
E2,R14,6.037429990780765,pre-1900
E2,R107,6.021666175615663,pre-1900
E61,R76,6.007539644166755,pre-1900
E49,R53,6.000941634138549,pre-1900
E81,R1,5.955479093897864,pre-1900
E_NOISE_67ef38a8a1215e77,R31,5.865985339234672,pre-1900
E101,R31,5.825629257732953,pre-1900
E183,R82,5.768760093041301,pre-1900
E30,R34,5.450656958744439,pre-1900
E16,R46,5.379904754857896,pre-1900
E16,R_NOISE_1efedc75aafcf229,5.368612234537517,pre-1900
E61,R34,5.352454298969901,pre-1900
E2,R359,5.340264471650893,pre-1900
E49,R31,5.257599516323745,pre-1900
E25,R77,5.2415734359604285,pre-1900
E_NOISE_4b6339ba29a58280,R1,5.16865711939596,pre-1900
E97,R73,5.046484143760514,pre-1900
E_NOISE_a159cdb85f6fa619,R_NOISE_f8068814a3f300cd,5.038821399504449,pre-1900
E12,R450,5.013254030829861,pre-1900
E45,R231,4.965377378449952,pre-1900
E93,R82,4.901443019204772,pre-1900
E2,R54,4.893922922502879,pre-1900
E30,R450,4.858761542112712,pre-1900
E45,R18,4.806368929362338,pre-1900
E158,R28,4.702970699734334,pre-1900
E98,R83,4.690278817473383,pre-1900
E25,R_NOISE_27e90dfa57c358ac,4.6457589016435294,pre-1900
E2,R158,4.517721152277676,pre-1900
E49,R200,4.483231509290382,pre-1900
E81,R1,4.467277859321462,pre-1900
E25,R28,4.41230448708352,pre-1900
E49,R31,4.401806156049333,pre-1900
E136,R404,4.328093723550935,pre-1900
E61,R88,4.316832237165502,pre-1900
E2,R23,4.289474785836174,pre-1900
E12,R450,4.264329373230579,pre-1900
E149,R450,4.2582402729863,pre-1900
E80,R1,4.236293692822689,pre-1900
