relation,topic,count,total,prop,count_global
) Is Due To The Absence Of A Vaccinator At Gangaw During,0,93,93,1.0,
) Lowest In The Nowgong District,0,35,38,0.921053,
0i Stronger Infusion,0,1,1,1.0,1.0
1) Prepare The Disinfecting Solutions To Be Used During The Day,0,445,453,0.98234,584.0
1st April To,0,84,94,0.893617,
1st Class Superintendent Bapu Rao And 4th Class Superintendent Gangadharam,0,1,1,1.0,
1st Class Vaccinators,0,554,615,0.900813,
1st Day C.c Ars. Ac. Sol,0,58,69,0.84058,
1st Lactation (lb,0,350,354,0.988701,
1st Prize,0,100,104,0.961538,
1st Test Insufflation Date,0,1,1,1.0,
"2nd Class After Years Service In The 3rd Class, Subject To Having",0,392,427,0.918033,738.0
2nd Lactation (lb,0,112,119,0.941176,
2nd Test Insufflation Date,0,1,1,1.0,1.0
2s,0,111,146,0.760274,
2μ From The Anterior End,0,1,1,1.0,1.0
3) Assist At The Arranging And Counting Of The Rats,29,88,124,0.709677,160.0
"3rd, 4th, 5th And Apex Of 2nd Tarsal Segments Are",0,1,1,1.0,1.0
"3rd, 4th, 5th, And The Apex Of The 2nd Tarsal Segments Are",0,1,1,1.0,1.0
5) Take Smears From The Spleen And See That The Slides Are,0,110,111,0.990991,212.0
5th October To Th November,0,98,130,0.753846,266.0
5μ From The Anterior End,0,177,188,0.941489,327.0
8a Or 9d,0,59,77,0.766234,139.0
; Irregular,0,183,213,0.859155,
A Ball,0,1,1,1.0,1.0
"A Basis For Selecting Cows Actually, Of Course, There Are Differences Between",0,1,1,1.0,1.0
A Blunt Iron Tool Re-sembling A Cleaver In Miniature,0,1,1,1.0,1.0
A Case Of,0,1,1,1.0,1.0
"A Cent. Coil Of The Right, Vagus Entire",55,1,1,1.0,1.0
A Central Cavity Containing,0,1,1,1.0,1.0
A Diet Composed Of Burma Rice,0,1,1,1.0,1.0
A Diet Composed Of Burma Rice . . . . . Ozs,0,1,1,1.0,1.0
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",0,55,58,0.948276,114.0
A Drench,0,3,3,1.0,3.0
A Form Of,0,1,1,1.0,1.0
A Four Pointed Needle One Insertion On Each Arm Or The Two,0,1,1,1.0,1.0
A Fully Developed Flagellum,0,50,51,0.980392,60.0
A Greasy Nature,1,1,1,1.0,1.0
A High Order,0,1,1,1.0,1.0
A History Of,0,1,1,1.0,4.0
A Hole On Its Summit,0,1,1,1.0,1.0
A Lethal Muscle Contracture In The Sheep,0,1,1,1.0,1.0
A Licberkuhn S Crypt (transversely Divided) From The Vermiform Appendix,0,1,1,1.0,1.0
A Line Of Ulceration On Both Jaws,0,1,1,1.0,1.0
A M I N U T E,0,1,1,1.0,1.0
A Malarious Type,0,1,1,1.0,1.0
A Marked Decrease To The Lowest Recorded Figure Of . Per,0,1,1,1.0,1.0
A Mean Of,0,1,1,1.0,1.0
A Moribund Condition,0,1,1,1.0,1.0
A Most Virulent Form,0,49,54,0.907407,109.0
A Much Greater Extent In,0,1,1,1.0,1.0
A Naval Rating In Poona Hospital,1,1,1,1.0,1.0
A Per Cent Solution Was Highly Efficient,0,1,1,1.0,1.0
A Petri-dish Kept In An Upright Position,0,1,1,1.0,1.0
A Reduced State Of Health,0,1,1,1.0,1.0
A Room,0,1,1,1.0,1.0
A Satisfactory Condition On The Whole As To Cleanliness And Conservancy,0,39,39,1.0,80.0
A Scorbutic Character,0,1,1,1.0,1.0
A Secondary Character,0,2,2,1.0,2.0
A Section Of Reacting Muscle,0,1,1,1.0,1.0
A Small Depressed Centre,0,1,1,1.0,1.0
A Small Jeerah On Blacksoil Below Village,0,1,1,1.0,1.0
A Smaller Cell Splitting Off,0,1,1,1.0,1.0
A Thorough Character Should Be Instituted,0,1,1,1.0,1.0
