relation,topic,count,total,prop,count_global
) Is Due To The Absence Of A Vaccinator At Gangaw During,60,63,103,0.61165,
) Lowest In The Nowgong District,0,32,44,0.727273,
0i Stronger Infusion,0,1,1,1.0,1.0
1) Prepare The Disinfecting Solutions To Be Used During The Day,0,375,393,0.954198,584.0
1st April To,0,91,114,0.798246,
1st Class Vaccinators,0,561,665,0.843609,
1st Day C.c Ars. Ac. Sol,0,31,83,0.373494,
1st Ditto,140,2,2,1.0,
1st Lactation (lb,0,340,368,0.923913,
1st Prize,0,66,121,0.545455,
1st Test Insufflation Date,5,1,1,1.0,
"2nd Class After Years Service In The 3rd Class, Subject To Having",0,185,445,0.41573,738.0
2nd Lactation (lb,0,40,92,0.434783,
2nd Test Insufflation Date,5,1,1,1.0,1.0
2s,0,85,167,0.508982,
2μ From The Anterior End,0,1,1,1.0,1.0
3) Assist At The Arranging And Counting Of The Rats,19,103,132,0.780303,160.0
"3rd, 4th, 5th And Apex Of 2nd Tarsal Segments Are",6,1,1,1.0,1.0
"3rd, 4th, 5th, And The Apex Of The 2nd Tarsal Segments Are",6,1,1,1.0,1.0
5) Take Smears From The Spleen And See That The Slides Are,23,69,117,0.589744,212.0
5th October To Th November,0,89,151,0.589404,266.0
5μ From The Anterior End,0,111,203,0.546798,327.0
8a Or 9d,0,43,81,0.530864,139.0
; Irregular,0,109,211,0.516588,
A Ball,65,1,1,1.0,1.0
"A Basis For Selecting Cows Actually, Of Course, There Are Differences Between",0,1,1,1.0,1.0
A Blunt Iron Tool Re-sembling A Cleaver In Miniature,0,1,1,1.0,1.0
"A Cent. Coil Of The Right, Vagus Entire",136,1,1,1.0,1.0
A Central Cavity Containing,0,1,1,1.0,1.0
A Channel Cut In The Bed Of,0,1,1,1.0,1.0
A Comatose Or Semicomatose State,131,1,1,1.0,1.0
A Cot On Which An Injured Man Had Lain,0,1,1,1.0,1.0
A Diet Composed Of Burma Rice,0,1,1,1.0,1.0
A Diet Composed Of Burma Rice . . . . . Ozs,0,1,1,1.0,1.0
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",0,28,58,0.482759,114.0
A Diminished Intensity Of That Occurring,0,1,1,1.0,1.0
A Drench,0,1,2,0.5,3.0
A Form Of,3,1,1,1.0,1.0
A Four Pointed Needle One Insertion On Each Arm Or The Two,0,1,1,1.0,1.0
A Fully Developed Flagellum,0,46,49,0.938776,60.0
A Greasy Nature,7,1,1,1.0,1.0
A Gunshot Wound Of The Abdomen With Protrusion Of Intestine,4,1,1,1.0,1.0
A High Order,2,1,1,1.0,1.0
A History Of,10,1,1,1.0,4.0
A Lethal Muscle Contracture In The Sheep,0,1,1,1.0,1.0
A Licberkuhn S Crypt (transversely Divided) From The Vermiform Appendix,0,1,1,1.0,1.0
A Light Brown Colour,3,1,1,1.0,1.0
