relation,topic,count,total,prop
) Is Due To The Absence Of A Vaccinator At Gangaw During,0,137,145,0.944828
) Is Due To The Absence Of A Vaccinator At Gangaw During,1,2,145,0.013793
) Is Due To The Absence Of A Vaccinator At Gangaw During,7,1,145,0.006897
) Is Due To The Absence Of A Vaccinator At Gangaw During,28,1,145,0.006897
) Is Due To The Absence Of A Vaccinator At Gangaw During,33,2,145,0.013793
) Is Due To The Absence Of A Vaccinator At Gangaw During,84,1,145,0.006897
) Is Due To The Absence Of A Vaccinator At Gangaw During,86,1,145,0.006897
) Lowest In The Nowgong District,0,19,46,0.413043
) Lowest In The Nowgong District,1,2,46,0.043478
) Lowest In The Nowgong District,6,1,46,0.021739
) Lowest In The Nowgong District,16,8,46,0.173913
) Lowest In The Nowgong District,17,1,46,0.021739
) Lowest In The Nowgong District,19,1,46,0.021739
) Lowest In The Nowgong District,22,1,46,0.021739
) Lowest In The Nowgong District,27,1,46,0.021739
) Lowest In The Nowgong District,32,1,46,0.021739
) Lowest In The Nowgong District,34,5,46,0.108696
) Lowest In The Nowgong District,39,1,46,0.021739
) Lowest In The Nowgong District,42,2,46,0.043478
) Lowest In The Nowgong District,49,1,46,0.021739
) Lowest In The Nowgong District,56,1,46,0.021739
) Lowest In The Nowgong District,102,1,46,0.021739
0i Stronger Infusion,0,1,1,1.0
1) Prepare The Disinfecting Solutions To Be Used During The Day,0,19,343,0.055394
1) Prepare The Disinfecting Solutions To Be Used During The Day,1,290,343,0.845481
1) Prepare The Disinfecting Solutions To Be Used During The Day,2,1,343,0.002915
1) Prepare The Disinfecting Solutions To Be Used During The Day,3,2,343,0.005831
1) Prepare The Disinfecting Solutions To Be Used During The Day,5,5,343,0.014577
1) Prepare The Disinfecting Solutions To Be Used During The Day,7,1,343,0.002915
1) Prepare The Disinfecting Solutions To Be Used During The Day,9,1,343,0.002915
1) Prepare The Disinfecting Solutions To Be Used During The Day,16,2,343,0.005831
1) Prepare The Disinfecting Solutions To Be Used During The Day,27,4,343,0.011662
1) Prepare The Disinfecting Solutions To Be Used During The Day,30,2,343,0.005831
1) Prepare The Disinfecting Solutions To Be Used During The Day,63,1,343,0.002915
1) Prepare The Disinfecting Solutions To Be Used During The Day,67,1,343,0.002915
1) Prepare The Disinfecting Solutions To Be Used During The Day,71,1,343,0.002915
1) Prepare The Disinfecting Solutions To Be Used During The Day,72,4,343,0.011662
1) Prepare The Disinfecting Solutions To Be Used During The Day,76,1,343,0.002915
1) Prepare The Disinfecting Solutions To Be Used During The Day,80,2,343,0.005831
1) Prepare The Disinfecting Solutions To Be Used During The Day,89,2,343,0.005831
1) Prepare The Disinfecting Solutions To Be Used During The Day,106,1,343,0.002915
1) Prepare The Disinfecting Solutions To Be Used During The Day,144,1,343,0.002915
1) Prepare The Disinfecting Solutions To Be Used During The Day,179,1,343,0.002915
1) Prepare The Disinfecting Solutions To Be Used During The Day,183,1,343,0.002915
